id,program_name,major,degree_type,campus
1,Junior High School,N/A,Secondary,Candelaria
2,Secondary Education (ETEEAP),Mathematics,Bachelor,Lucena City
3,Secondary Education (ETEEAP),Filipino,Bachelor,Lucena City
4,Secondary Education (ETEEAP),English,Bachelor,Lucena City
5,Culture and Arts Education,N/A,Bachelor,Lucena City
6,Elementary Education,N/A,Bachelor,Lucena City
7,Elementary Education,N/A,Bachelor,Catanauan
8,Elementary Education,N/A,Bachelor,Candelaria
9,Elementary Education,N/A,Bachelor,San Antonio
10,Elementary Education (ETEEAP),N/A,Bachelor,Lucena City
11,Fine Arts,Visual Communication,Bachelor,Lucena City
12,Library and Information Science,N/A,Bachelor,Lucena City
13,Library and Information Science (ETEEAP),N/A,Bachelor,Lucena City
14,Physical Education,N/A,Bachelor,Lucena City
15,Secondary Education,English,Bachelor,Lucena City
16,Secondary Education,Filipino,Bachelor,Lucena City
17,Secondary Education,Mathematics,Bachelor,Lucena City
18,Secondary Education,Science,Bachelor,Lucena City
19,Secondary Education,Social Studies,Bachelor,Lucena City
20,Secondary Education,N/A,Bachelor,Lucena City
21,Secondary Education,English,Bachelor,Catanauan
22,Secondary Education,Filipino,Bachelor,Catanauan
23,Secondary Education,Mathematics,Bachelor,Catanauan
24,Secondary Education,English,Bachelor,Candelaria
25,Secondary Education,Mathematics,Bachelor,Candelaria
26,Secondary Education,Science,Bachelor,Candelaria
27,Secondary Education,Science,Bachelor,Candelaria
28,Secondary Education,Social Studies,Bachelor,Candelaria
29,Secondary Education,Filipino,Bachelor,Candelaria
30,Secondary Education,Mathematics,Bachelor,San Antonio
31,Secondary Education (ETEEAP),Science,Bachelor,Lucena City
32,Communication,N/A,Bachelor of Arts,Lucena City
33,Communication (ETEEAP),N/A,Bachelor of Arts,Lucena City
34,English Language,N/A,Bachelor of Arts,Lucena City
35,Political Science,N/A,Bachelor of Arts,Lucena City
36,Political Science (ETEEAP),N/A,Bachelor of Arts,Lucena City
37,Psychology,N/A,Bachelor of Arts,Candelaria
38,Psychology (ETEEAP),N/A,Bachelor of Arts,Lucena City
39,Tourism Management,N/A,Bachelor of Science,Candelaria
